Participant 	Albania 	Andorra 	Armenia 	Austria 	Belarus 	Belgium 	Bosnia & Herzegovina 	Bulgaria 	Croatia 	Cyprus 	Czech Republic 	Denmark 	Estonia 	F.Y.R. Macedonia 	Finland 	France 	Georgia 	Germany 	Greece 	Hungary 	Iceland 	Ireland 	Israel 	Latvia 	Lithuania 	Malta 	Moldova 	Montenegro 	Norway 	Poland 	Portugal 	Romania 	Russia 	Serbia 	Slovenia 	Spain 	Sweden 	Switzerland 	The Netherlands 	Turkey 	Ukraine 	United Kingdom
Bulgaria	1		1	6		2	3		6	12	10			7	2	8	3	4	10	8			6			3	5	5			5	1		5	3	10				12	2	6 	146 	6
Israel											2		3			6					1				4								1										17 	24
Cyprus	8		4			5		7								5		3	12				4									7										10 	65 	15
Belarus	4		12				2	6		10	5	1	7	4			4		7	2	4	6	12	10	10	7	12	4	3	4	1	3	12	4			3			5	12		176 	4
Iceland					3							10	6		12		1			10				6	5				12								12						77 	13
Georgia			8		8	1		3		7			10		4	4			6				8	7	8		8			3			10			3			5	10	10		123 	8
Montenegro	7						5		5					3																				8	5								33 	22
Switzerland		6							1	2		3	2					8	2					4		10									2								40 	20
Moldova			7		12			1		6							7		3			2	3								12	12	6			6				8	6		91 	10
The Netherlands		5				10						4								5			1			8			1		3							1					38 	21
Albania				3			4	2	3					10				1	8									6										7		4		1 	49 	17
Denmark		2																			8	5	5			6			4					3			4		1			7 	45 	19
Croatia	3			7			10							6				2										7						6	8			5					54 	16
Poland		10	5	4	5					3		2		2		3	6	5		3	2	10		1	3			1						2							5	3 	75 	14
Serbia	2		10	12	10	4	12	8	12	8	12	6		12	8	7	8	10	5	12	10	8	7	2	1	1	6	12	8	5	4	6	8		12	5	10	12	10		8	5 	298 	1
Czech Republic													1																														1 	28
Portugal		12	6		7	3				1						10		7						3			7			10				1	1	8		8	4				88 	11
F.Y.R. Macedonia	10			5			7	12	8		6																	10				2		10	10		5	6		6			97 	9
Norway		3	3									7	4		1					1	7					2	1	2		2	2					4	6		3				48 	18
Malta	6																																							7		2 	15 	25
Andorra					4				2		7		5	1	5				4		6	4	2		2				2	6	6		4		4	12	2			2			80 	12
Hungary	5	4		8	1	7	1	4	7	4	8	12	8		10	2	10	6			12	7		8	7	4			10	8	10	10	3	12	6	1	8	4	8	1	4	4 	224 	2
Estonia															6		2					3		12	6		4																33 	22
Belgium																	12																						2				14 	26
Slovenia		8		2	6	6	6	5	10		4			5		1				7		1		5		5	3	8	5	7	7	4	5	7		7			6	3	7		140 	7
Turkey	12	7	2	10		12	8	10			1	8		8	7	12		12		6	3						10	3	6	1		8	7			2	7	10	12		1	12 	197 	3
Austria		1																																				3					4 	27
Latvia				1	2	8			4	5	3	5	12		3		5		1	4	5	12	10		12	12	2		7	12	8	5	2		7		1	2	7		3	8 	168 	5